,pH,WHC_Eurofins,N.Tot_Eurofins,P.PAE_Eurofins,K_Eurofins,S.totaal_Eurofins,Mg_Eurofins,CEC_Eurofins,Ca.bez_Eurofins,OC_WUR,Depth_2MPa,BD,fieldmoisture,MWD,PMN,GH_yield,disease_spread,Weightloss_manure,Management.spec,main.fertilizer.cat,till.depth,external.om.inputs,crop.diversity,cover.crop,Respiration,nema.count.gram,co-response_group_PMN,co-response_group_GH_yield,co-response_group_disease_spread,co-response_group_Weightloss_manure
MC54 1A,7.846,2.4,2180.0,1.1,46.0,2195.0,94.0,249.0,91.0,23.56850488000195,33.0,1.03672,0.175390658,2.3351129561635267,0.1071053477499999,0.04,2.0,0.092427986,0,0,23.0,0.0,7.0,0,0.13686537,15.93389433,0.0492569561267232,0.0553014777947384,0.040636052037695505,0.08192878846505432
MC08 1A,8.094,1.6,1310.0,1.6,120.0,275.0,80.0,166.0,89.0,12.68335135696511,15.5,1.4347,0.144062742,0.7176316720844995,0.0828433103571428,0.06,4.0,0.086512451,0,1,25.0,6960.0,4.0,0,0.175980379,47.91311332,0.07207585840397439,0.0691369940639319,0.026291938114904802,0.07941536980321559
MC08 1B,8.043,1.6,1350.0,1.4,93.0,265.0,80.0,185.0,90.0,12.92971609289467,16.5,1.4412,0.149024828,1.1023562285402029,0.0021652109285714,0.03,2.0,0.099855559,0,1,25.0,6960.0,4.0,0,0.171370939,13.83051659,0.0569481267421908,0.06372837908021649,0.0167639920000014,0.0934444127265301
MC08 1C,8.054,1.7,1340.0,1.4,134.0,255.0,84.0,177.0,90.0,13.566706483799814,10.75,1.4314,0.148866595,0.701116501069134,0.0464150459285714,0.08,5.0,0.085911948,0,1,25.0,6960.0,4.0,0,0.130961422,12.54746585,0.0609646097396655,0.0466096200276191,0.02507766232620862,0.0797828450210149
MO08 2A,8.001,1.1,1260.0,1.7,67.0,255.0,59.0,123.0,92.0,12.125385339360474,3.0,1.2447,0.078110129,2.6395041872891727,0.2012497757142857,0.18,2.0,0.107110418,1,2,22.0,0.0,4.0,0,0.209106782,44.43240343,0.059263917156651795,0.05782517337360321,0.030994834841908403,0.09396447694112971
MO08 2B,7.958,1.0,1000.0,2.4,69.0,200.0,67.0,129.0,91.0,11.792454772408464,2.0,1.5147,0.065162907,0.8700218180752166,0.1374845040714285,0.41,2.0,0.111875046,1,2,22.0,0.0,4.0,0,0.180555788,60.16050606,0.05758801432860881,0.06894748497329359,0.029613722839166298,0.09414889149430701
MC08 2A,7.932,1.6,1390.0,2.0,104.0,265.0,87.0,167.0,90.0,12.526820189586443,16.75,1.1967,0.148819366,1.030168088959,0.0497397426071428,0.18,3.0,0.096647233,0,1,25.0,6960.0,4.0,0,0.144113104,27.66504844,0.043055110773966794,0.0749961964059931,0.0337730294217418,0.09234989373731409
MC08 2C,7.896,1.8,1380.0,1.4,63.0,275.0,87.0,182.0,89.0,14.367264834548845,12.75,1.2086,0.14986217,1.4610848684459958,0.0482762378571427,0.08,4.0,0.103304725,0,1,25.0,6960.0,4.0,0,0.138526639,21.79434375,0.050785928014760805,0.0733379692755469,0.021421972517760998,0.0970661150368381
MC26 1A,7.996,1.2,970.0,1.2,63.0,150.0,74.0,147.0,93.0,13.17122053363315,25.75,1.355,0.190890092,0.6055242585815626,0.0224227542857143,0.41,5.0,0.081422393,0,1,27.0,0.0,6.0,1,0.147893945,75.332516,0.054270885976736905,0.0553229822092596,0.0238789991877323,0.0892924902267875
MC26 1B,8.078,1.2,1100.0,1.8,89.0,285.0,67.0,153.0,90.0,14.07092089701196,27.75,1.4246,0.170856181,1.2878235368742803,0.0665669212857142,0.27,4.0,0.095316607,0,1,27.0,0.0,6.0,1,0.21916562,70.71363862,0.0599552761885095,0.0565769483204778,0.032197950804986095,0.0863913440709786
MC26 1C,8.022,1.6,1140.0,1.6,62.0,245.0,75.0,154.0,92.0,12.8540077940349,31.0,1.4944,0.175525042,0.958091235604604,0.0488671871428572,0.05,0.0,0.094473385,0,1,27.0,0.0,6.0,1,0.174638165,37.25335132,0.0649911096762251,0.0603651235704241,0.0315330680991405,0.07994169226598352
MO26 2A,7.959,1.3,1450.0,2.4,228.0,365.0,102.0,140.0,86.0,17.96912595456719,8.0,1.64,0.17424704,3.770779985263304,0.17942397325,0.03,3.0,0.099810775,1,2,21.0,2610.0,3.0,0,0.354820473,55.64419774,0.0549673355996535,0.0552579410140153,0.0174015443975587,0.0907929034683243
MO26 2B,7.961,1.4,1480.0,1.8,196.0,315.0,86.0,147.0,87.0,14.472964494663431,9.25,1.4861,0.166815199,1.9431761194044928,0.1442455567142857,0.06,0.0,0.087820706,1,2,21.0,2610.0,3.0,0,0.280944871,35.76078808,0.06012144631391701,0.0646981571639486,0.0366097389067344,0.08154421013327541
MO26 2C,7.909,1.5,1610.0,2.9,156.0,365.0,85.0,164.0,89.0,16.56170508234527,11.5,1.5064,0.176519719,2.691066670412072,0.1222257235714285,0.01,1.0,0.104276011,1,2,21.0,2610.0,3.0,0,0.288698708,54.885895,0.0580922793699733,0.062397001549922206,0.0405874921947929,0.09143272914062141
MO81 1B,7.75,2.2,1790.0,3.4,69.0,360.0,128.0,230.0,89.0,21.822245227196408,14.75,1.4746,0.195716973,1.487402144402303,0.0314616828214285,0.37,0.0,0.10955385,1,1,24.0,3590.0,7.0,1,0.243940642,16.80989299,0.050146319276216,0.06767501798035679,0.039018272785650204,0.08294154900645141
MO81 1C,7.829,2.0,1660.0,3.3,72.0,325.0,94.0,210.0,90.0,19.08980826099435,13.75,1.4789,0.192022402,2.46908247588803,0.0565045531785714,0.14,4.0,0.098110562,1,1,24.0,3590.0,7.0,1,0.47439137,36.4583508,0.057879997491933996,0.0831095335334609,0.0502693605606446,0.0858416452426187
MC81 1A,7.907,1.7,1550.0,5.8,143.0,385.0,83.0,175.0,87.0,16.28020333701144,23.5,1.4626,0.189187787,0.8874132955031719,0.1045746069285714,0.1,2.0,0.117790018,0,1,24.0,3165.0,5.0,1,0.234005603,23.30300781,0.05868181610223949,0.0624316120827293,0.0302875278868809,0.0903376060337573
MC81 1B,7.902,1.8,1670.0,4.1,122.0,430.0,79.0,183.0,89.0,17.281280145390372,23.25,1.4984,0.187191342,1.2376754223196178,0.10475094475,0.2,4.0,0.099643229,0,1,24.0,3165.0,5.0,1,0.196076272,20.97105435,0.0510786859864301,0.0637443480907549,0.040754460985932994,0.0802788191873445
MC81 1C,7.895,1.9,1500.0,2.9,89.0,325.0,80.0,180.0,89.0,15.570276774193548,21.5,1.4014,0.177301017,0.8414542777231939,0.0706934732142857,0.06,3.0,0.10439832,0,1,24.0,3165.0,5.0,1,0.165386024,14.48293864,0.0611440471532458,0.0540431736344193,0.0317661502420694,0.0884444698514321
MO07 1A,7.84,0.9,1390.0,4.5,46.0,240.0,65.0,134.0,91.0,12.377318446415522,20.5,1.4758,0.162907201,2.044054905862532,0.1029807805,0.17,4.0,0.098770584,1,1,18.0,2872.0,6.0,1,0.273260489,18.74559399,0.0524938046295359,0.051090059157655424,0.022424505589386166,0.0924507657765845
MO07 1B,7.889,1.1,1310.0,3.8,50.0,220.0,52.0,129.0,93.0,12.848041671488389,12.75,1.5321,0.162779129,2.632785448576497,0.0788264685357142,0.17,4.0,0.114273914,1,1,18.0,2872.0,6.0,1,0.248831222,29.52047122,0.0639885195227072,0.06891734429958181,0.0213848799144974,0.1080968690506149
MO07 1C,7.935,1.1,1230.0,3.5,41.0,200.0,51.0,123.0,93.0,11.748683316189403,18.75,1.5,0.164747696,2.974515585412767,0.1610854007142857,0.12,4.0,0.097834082,1,1,18.0,2872.0,6.0,1,0.258779588,92.61020828,0.0703009298105383,0.0604682069045735,0.036693204858695656,0.0763022086457752
MC07 1A,7.893,1.9,1730.0,1.6,94.0,285.0,53.0,187.0,91.0,16.48605686684886,20.0,1.3914,0.190288424,1.2595791721702196,0.0567106931428571,0.03,3.0,0.094094005,0,2,22.0,2212.0,3.0,0,0.226878882,26.46059267,0.055296866208173104,0.0640652082654317,0.0427564414954631,0.07417074114285091
MC07 1B,7.954,1.7,1590.0,2.0,94.0,245.0,54.0,175.0,90.0,16.804341030729255,25.5,1.6788,0.150054445,1.1912871593645076,0.1381966642142857,0.17,5.0,0.111464443,0,2,22.0,2212.0,3.0,0,0.193534397,31.85714151,0.05340396281459869,0.047157109979254805,0.01985869870243009,0.07521362081009031
