,pH,WHC_Eurofins,N.Tot_Eurofins,P.PAE_Eurofins,K_Eurofins,S.totaal_Eurofins,Mg_Eurofins,CEC_Eurofins,Ca.bez_Eurofins,OC_WUR,Depth_2MPa,BD,fieldmoisture,MWD,PMN,GH_yield,disease_spread,Weightloss_manure,Management.spec,main.fertilizer.cat,till.depth,external.om.inputs,crop.diversity,cover.crop,Respiration,nema.count.gram,co-response_group_PMN,co-response_group_GH_yield,co-response_group_disease_spread,co-response_group_Weightloss_manure
SO19 1A,5.463,0.6,740.0,7.6,85.0,150.0,28.0,23.0,57.0,8.06,11.0,1.4927,0.059813924,2.3721735993243147,0.1427681818571428,0.01,3.0,0.093709213,0,0,21.0,2325.0,7.0,0,0.107491823,21.51203644,0.007617174399335672,0.0419321396077425,0.07185663624651091,0.0018012565181373657
SC19 1B,6.183,0.7,1180.0,1.5,47.0,210.0,37.0,33.0,58.0,16.2,23.5,1.4384,0.119723609,3.131142986229173,0.2319271966428571,0.02,3.0,0.109754257,1,0,19.0,3124.0,3.0,1,0.278971542,39.24887186,0.0178460540166379,0.062415186384313995,0.0562014877833512,0.0045664347130669
SC19 1C,5.853,0.6,1090.0,1.7,53.0,180.0,27.0,23.0,57.0,14.6,24.5,1.3933,0.118949619,3.4275246386461173,0.2924508114285714,0.15,4.0,0.103549668,1,0,19.0,3124.0,3.0,1,0.376644012,48.16285982,0.013472823255482498,0.0566608854566622,0.050208311727132304,0.0038803009971887003
SO99 1A,7.21,0.9,1640.0,4.9,256.0,405.0,100.0,88.0,83.0,20.8,21.5,1.2543,0.145635883,2.978523556256776,0.3837975633571428,0.13,7.0,0.110076123,0,1,27.0,1240.0,3.0,2,0.700261931,56.34949878,0.020322055666432,0.0600553575580064,0.0604048247139638,0.004353886182745658
SO99 1C,6.986,0.8,1560.0,3.3,88.0,290.0,76.0,83.0,80.0,20.8,23.75,1.1612,0.148737957,4.363661387413829,0.2136075283214285,0.06,5.0,0.128362091,0,1,27.0,1240.0,3.0,2,0.180140298,46.41381813,0.0195333700030135,0.0549645982331408,0.04665072620853209,0.009634518354989201
SC99 1A,6.395,0.9,1440.0,4.9,62.0,315.0,114.0,81.0,69.0,30.2,14.0,1.4449,0.145231827,5.209319938814726,0.2834238551071428,0.35,3.0,0.102348996,1,1,21.0,0.0,4.0,2,0.177090071,33.36340616,0.0136208344245532,0.07463369048941154,0.0695918194995996,0.005299721780630999
SC99 1C,6.146,0.9,1660.0,5.4,128.0,285.0,101.0,67.0,69.0,37.0,30.0,1.3526,0.144936691,3.2903879042012427,0.1893584471785714,0.14,5.0,0.111967674,1,1,21.0,0.0,4.0,2,0.24083565,28.45997724,0.013581699058044,0.09715045801265827,0.0882975397865508,0.0048979754102208995
SO08 1A,5.542,0.7,1690.0,0.6,31.0,270.0,45.0,36.0,47.0,20.5,23.75,1.3495,0.159891789,3.638232567921165,0.6790741336428571,0.73,0.0,0.109593927,2,0,25.0,0.0,4.0,1,0.341145298,50.69217456,0.0400106937214832,0.1058462377612978,0.0773828259776981,0.0115171217193476
SO08 1C,5.471,0.8,1750.0,0.5,14.0,290.0,44.0,42.0,57.0,23.8,21.25,1.3276,0.170409301,3.078445110079848,0.3026803568571429,0.6,6.0,0.111266815,2,0,25.0,0.0,4.0,1,0.222861052,44.66741858,0.0271965550382126,0.09914794456617018,0.0751079730152053,0.0057124825847071
SC08 1A,5.735,0.9,2100.0,0.7,73.0,345.0,102.0,45.0,60.0,25.3,32.25,1.2343,0.198030685,3.9070471949269927,0.2870711571785714,0.8,2.0,0.134100266,1,0,25.0,2485.0,4.0,1,0.345137232,60.47960046,0.029924355328203894,0.1088213544088147,0.0627854409342544,0.012401734371795998
